"","species","bill_length_mm","bill_depth_mm","flipper_length_mm","body_mass_g"
"1","Adelie",39.1,18.7,181,3750
"2","Adelie",39.5,17.4,186,3800
"3","Adelie",40.3,18,195,3250
"4","Adelie",36.7,19.3,193,3450
"5","Adelie",39.3,20.6,190,3650
"6","Adelie",38.9,17.8,181,3625
"7","Adelie",39.2,19.6,195,4675
"8","Adelie",34.1,18.1,193,3475
"9","Adelie",42,20.2,190,4250
"10","Adelie",37.8,17.1,186,3300
"11","Adelie",37.8,17.3,180,3700
"12","Adelie",41.1,17.6,182,3200
"13","Adelie",38.6,21.2,191,3800
"14","Adelie",34.6,21.1,198,4400
"15","Adelie",36.6,17.8,185,3700
"16","Adelie",38.7,19,195,3450
"17","Adelie",42.5,20.7,197,4500
"18","Adelie",34.4,18.4,184,3325
"19","Adelie",46,21.5,194,4200
"20","Adelie",37.8,18.3,174,3400
"21","Adelie",37.7,18.7,180,3600
"22","Adelie",35.9,19.2,189,3800
"23","Adelie",38.2,18.1,185,3950
"24","Adelie",38.8,17.2,180,3800
"25","Adelie",35.3,18.9,187,3800
"26","Adelie",40.6,18.6,183,3550
"27","Adelie",40.5,17.9,187,3200
"28","Adelie",37.9,18.6,172,3150
"29","Adelie",40.5,18.9,180,3950
"30","Adelie",39.5,16.7,178,3250
"31","Adelie",37.2,18.1,178,3900
"32","Adelie",39.5,17.8,188,3300
"33","Adelie",40.9,18.9,184,3900
"34","Adelie",36.4,17,195,3325
"35","Adelie",39.2,21.1,196,4150
"36","Adelie",38.8,20,190,3950
"37","Adelie",42.2,18.5,180,3550
"38","Adelie",37.6,19.3,181,3300
"39","Adelie",39.8,19.1,184,4650
"40","Adelie",36.5,18,182,3150
"41","Adelie",40.8,18.4,195,3900
"42","Adelie",36,18.5,186,3100
"43","Adelie",44.1,19.7,196,4400
"44","Adelie",37,16.9,185,3000
"45","Adelie",39.6,18.8,190,4600
"46","Adelie",41.1,19,182,3425
"47","Adelie",37.5,18.9,179,2975
"48","Adelie",36,17.9,190,3450
"49","Adelie",42.3,21.2,191,4150
"50","Adelie",39.6,17.7,186,3500
"51","Adelie",40.1,18.9,188,4300
"52","Adelie",35,17.9,190,3450
"53","Adelie",42,19.5,200,4050
"54","Adelie",34.5,18.1,187,2900
"55","Adelie",41.4,18.6,191,3700
"56","Adelie",39,17.5,186,3550
"57","Adelie",40.6,18.8,193,3800
"58","Adelie",36.5,16.6,181,2850
"59","Adelie",37.6,19.1,194,3750
"60","Adelie",35.7,16.9,185,3150
"61","Adelie",41.3,21.1,195,4400
"62","Adelie",37.6,17,185,3600
"63","Adelie",41.1,18.2,192,4050
"64","Adelie",36.4,17.1,184,2850
"65","Adelie",41.6,18,192,3950
"66","Adelie",35.5,16.2,195,3350
"67","Adelie",41.1,19.1,188,4100
"68","Adelie",35.9,16.6,190,3050
"69","Adelie",41.8,19.4,198,4450
"70","Adelie",33.5,19,190,3600
"71","Adelie",39.7,18.4,190,3900
"72","Adelie",39.6,17.2,196,3550
"73","Adelie",45.8,18.9,197,4150
"74","Adelie",35.5,17.5,190,3700
"75","Adelie",42.8,18.5,195,4250
"76","Adelie",40.9,16.8,191,3700
"77","Adelie",37.2,19.4,184,3900
"78","Adelie",36.2,16.1,187,3550
"79","Adelie",42.1,19.1,195,4000
"80","Adelie",34.6,17.2,189,3200
"81","Adelie",42.9,17.6,196,4700
"82","Adelie",36.7,18.8,187,3800
"83","Adelie",35.1,19.4,193,4200
"84","Adelie",37.3,17.8,191,3350
"85","Adelie",41.3,20.3,194,3550
"86","Adelie",36.3,19.5,190,3800
"87","Adelie",36.9,18.6,189,3500
"88","Adelie",38.3,19.2,189,3950
"89","Adelie",38.9,18.8,190,3600
"90","Adelie",35.7,18,202,3550
"91","Adelie",41.1,18.1,205,4300
"92","Adelie",34,17.1,185,3400
"93","Adelie",39.6,18.1,186,4450
"94","Adelie",36.2,17.3,187,3300
"95","Adelie",40.8,18.9,208,4300
"96","Adelie",38.1,18.6,190,3700
"97","Adelie",40.3,18.5,196,4350
"98","Adelie",33.1,16.1,178,2900
"99","Adelie",43.2,18.5,192,4100
"100","Adelie",35,17.9,192,3725
"101","Adelie",41,20,203,4725
"102","Adelie",37.7,16,183,3075
"103","Adelie",37.8,20,190,4250
"104","Adelie",37.9,18.6,193,2925
"105","Adelie",39.7,18.9,184,3550
"106","Adelie",38.6,17.2,199,3750
"107","Adelie",38.2,20,190,3900
"108","Adelie",38.1,17,181,3175
"109","Adelie",43.2,19,197,4775
"110","Adelie",38.1,16.5,198,3825
"111","Adelie",45.6,20.3,191,4600
"112","Adelie",39.7,17.7,193,3200
"113","Adelie",42.2,19.5,197,4275
"114","Adelie",39.6,20.7,191,3900
"115","Adelie",42.7,18.3,196,4075
"116","Adelie",38.6,17,188,2900
"117","Adelie",37.3,20.5,199,3775
"118","Adelie",35.7,17,189,3350
"119","Adelie",41.1,18.6,189,3325
"120","Adelie",36.2,17.2,187,3150
"121","Adelie",37.7,19.8,198,3500
"122","Adelie",40.2,17,176,3450
"123","Adelie",41.4,18.5,202,3875
"124","Adelie",35.2,15.9,186,3050
"125","Adelie",40.6,19,199,4000
"126","Adelie",38.8,17.6,191,3275
"127","Adelie",41.5,18.3,195,4300
"128","Adelie",39,17.1,191,3050
"129","Adelie",44.1,18,210,4000
"130","Adelie",38.5,17.9,190,3325
"131","Adelie",43.1,19.2,197,3500
"132","Adelie",36.8,18.5,193,3500
"133","Adelie",37.5,18.5,199,4475
"134","Adelie",38.1,17.6,187,3425
"135","Adelie",41.1,17.5,190,3900
"136","Adelie",35.6,17.5,191,3175
"137","Adelie",40.2,20.1,200,3975
"138","Adelie",37,16.5,185,3400
"139","Adelie",39.7,17.9,193,4250
"140","Adelie",40.2,17.1,193,3400
"141","Adelie",40.6,17.2,187,3475
"142","Adelie",32.1,15.5,188,3050
"143","Adelie",40.7,17,190,3725
"144","Adelie",37.3,16.8,192,3000
"145","Adelie",39,18.7,185,3650
"146","Adelie",39.2,18.6,190,4250
"147","Adelie",36.6,18.4,184,3475
"148","Adelie",36,17.8,195,3450
"149","Adelie",37.8,18.1,193,3750
"150","Adelie",36,17.1,187,3700
"151","Adelie",41.5,18.5,201,4000
"152","Gentoo",46.1,13.2,211,4500
"153","Gentoo",50,16.3,230,5700
"154","Gentoo",48.7,14.1,210,4450
"155","Gentoo",50,15.2,218,5700
"156","Gentoo",47.6,14.5,215,5400
"157","Gentoo",46.5,13.5,210,4550
"158","Gentoo",45.4,14.6,211,4800
"159","Gentoo",46.7,15.3,219,5200
"160","Gentoo",43.3,13.4,209,4400
"161","Gentoo",46.8,15.4,215,5150
"162","Gentoo",40.9,13.7,214,4650
"163","Gentoo",49,16.1,216,5550
"164","Gentoo",45.5,13.7,214,4650
"165","Gentoo",48.4,14.6,213,5850
"166","Gentoo",45.8,14.6,210,4200
"167","Gentoo",49.3,15.7,217,5850
"168","Gentoo",42,13.5,210,4150
"169","Gentoo",49.2,15.2,221,6300
"170","Gentoo",46.2,14.5,209,4800
"171","Gentoo",48.7,15.1,222,5350
"172","Gentoo",50.2,14.3,218,5700
"173","Gentoo",45.1,14.5,215,5000
"174","Gentoo",46.5,14.5,213,4400
"175","Gentoo",46.3,15.8,215,5050
"176","Gentoo",42.9,13.1,215,5000
"177","Gentoo",46.1,15.1,215,5100
"178","Gentoo",44.5,14.3,216,4100
"179","Gentoo",47.8,15,215,5650
"180","Gentoo",48.2,14.3,210,4600
"181","Gentoo",50,15.3,220,5550
"182","Gentoo",47.3,15.3,222,5250
"183","Gentoo",42.8,14.2,209,4700
"184","Gentoo",45.1,14.5,207,5050
"185","Gentoo",59.6,17,230,6050
"186","Gentoo",49.1,14.8,220,5150
"187","Gentoo",48.4,16.3,220,5400
"188","Gentoo",42.6,13.7,213,4950
"189","Gentoo",44.4,17.3,219,5250
"190","Gentoo",44,13.6,208,4350
"191","Gentoo",48.7,15.7,208,5350
"192","Gentoo",42.7,13.7,208,3950
"193","Gentoo",49.6,16,225,5700
"194","Gentoo",45.3,13.7,210,4300
"195","Gentoo",49.6,15,216,4750
"196","Gentoo",50.5,15.9,222,5550
"197","Gentoo",43.6,13.9,217,4900
"198","Gentoo",45.5,13.9,210,4200
"199","Gentoo",50.5,15.9,225,5400
"200","Gentoo",44.9,13.3,213,5100
"201","Gentoo",45.2,15.8,215,5300
"202","Gentoo",46.6,14.2,210,4850
"203","Gentoo",48.5,14.1,220,5300
"204","Gentoo",45.1,14.4,210,4400
"205","Gentoo",50.1,15,225,5000
"206","Gentoo",46.5,14.4,217,4900
"207","Gentoo",45,15.4,220,5050
"208","Gentoo",43.8,13.9,208,4300
"209","Gentoo",45.5,15,220,5000
"210","Gentoo",43.2,14.5,208,4450
"211","Gentoo",50.4,15.3,224,5550
"212","Gentoo",45.3,13.8,208,4200
"213","Gentoo",46.2,14.9,221,5300
"214","Gentoo",45.7,13.9,214,4400
"215","Gentoo",54.3,15.7,231,5650
"216","Gentoo",45.8,14.2,219,4700
"217","Gentoo",49.8,16.8,230,5700
"218","Gentoo",46.2,14.4,214,4650
"219","Gentoo",49.5,16.2,229,5800
"220","Gentoo",43.5,14.2,220,4700
"221","Gentoo",50.7,15,223,5550
"222","Gentoo",47.7,15,216,4750
"223","Gentoo",46.4,15.6,221,5000
"224","Gentoo",48.2,15.6,221,5100
"225","Gentoo",46.5,14.8,217,5200
"226","Gentoo",46.4,15,216,4700
"227","Gentoo",48.6,16,230,5800
"228","Gentoo",47.5,14.2,209,4600
"229","Gentoo",51.1,16.3,220,6000
"230","Gentoo",45.2,13.8,215,4750
"231","Gentoo",45.2,16.4,223,5950
"232","Gentoo",49.1,14.5,212,4625
"233","Gentoo",52.5,15.6,221,5450
"234","Gentoo",47.4,14.6,212,4725
"235","Gentoo",50,15.9,224,5350
"236","Gentoo",44.9,13.8,212,4750
"237","Gentoo",50.8,17.3,228,5600
"238","Gentoo",43.4,14.4,218,4600
"239","Gentoo",51.3,14.2,218,5300
"240","Gentoo",47.5,14,212,4875
"241","Gentoo",52.1,17,230,5550
"242","Gentoo",47.5,15,218,4950
"243","Gentoo",52.2,17.1,228,5400
"244","Gentoo",45.5,14.5,212,4750
"245","Gentoo",49.5,16.1,224,5650
"246","Gentoo",44.5,14.7,214,4850
"247","Gentoo",50.8,15.7,226,5200
"248","Gentoo",49.4,15.8,216,4925
"249","Gentoo",46.9,14.6,222,4875
"250","Gentoo",48.4,14.4,203,4625
"251","Gentoo",51.1,16.5,225,5250
"252","Gentoo",48.5,15,219,4850
"253","Gentoo",55.9,17,228,5600
"254","Gentoo",47.2,15.5,215,4975
"255","Gentoo",49.1,15,228,5500
"256","Gentoo",47.3,13.8,216,4725
"257","Gentoo",46.8,16.1,215,5500
"258","Gentoo",41.7,14.7,210,4700
"259","Gentoo",53.4,15.8,219,5500
"260","Gentoo",43.3,14,208,4575
"261","Gentoo",48.1,15.1,209,5500
"262","Gentoo",50.5,15.2,216,5000
"263","Gentoo",49.8,15.9,229,5950
"264","Gentoo",43.5,15.2,213,4650
"265","Gentoo",51.5,16.3,230,5500
"266","Gentoo",46.2,14.1,217,4375
"267","Gentoo",55.1,16,230,5850
"268","Gentoo",44.5,15.7,217,4875
"269","Gentoo",48.8,16.2,222,6000
"270","Gentoo",47.2,13.7,214,4925
"271","Gentoo",46.8,14.3,215,4850
"272","Gentoo",50.4,15.7,222,5750
"273","Gentoo",45.2,14.8,212,5200
"274","Gentoo",49.9,16.1,213,5400
"275","Chinstrap",46.5,17.9,192,3500
"276","Chinstrap",50,19.5,196,3900
"277","Chinstrap",51.3,19.2,193,3650
"278","Chinstrap",45.4,18.7,188,3525
"279","Chinstrap",52.7,19.8,197,3725
"280","Chinstrap",45.2,17.8,198,3950
"281","Chinstrap",46.1,18.2,178,3250
"282","Chinstrap",51.3,18.2,197,3750
"283","Chinstrap",46,18.9,195,4150
"284","Chinstrap",51.3,19.9,198,3700
"285","Chinstrap",46.6,17.8,193,3800
"286","Chinstrap",51.7,20.3,194,3775
"287","Chinstrap",47,17.3,185,3700
"288","Chinstrap",52,18.1,201,4050
"289","Chinstrap",45.9,17.1,190,3575
"290","Chinstrap",50.5,19.6,201,4050
"291","Chinstrap",50.3,20,197,3300
"292","Chinstrap",58,17.8,181,3700
"293","Chinstrap",46.4,18.6,190,3450
"294","Chinstrap",49.2,18.2,195,4400
"295","Chinstrap",42.4,17.3,181,3600
"296","Chinstrap",48.5,17.5,191,3400
"297","Chinstrap",43.2,16.6,187,2900
"298","Chinstrap",50.6,19.4,193,3800
"299","Chinstrap",46.7,17.9,195,3300
"300","Chinstrap",52,19,197,4150
"301","Chinstrap",50.5,18.4,200,3400
"302","Chinstrap",49.5,19,200,3800
"303","Chinstrap",46.4,17.8,191,3700
"304","Chinstrap",52.8,20,205,4550
"305","Chinstrap",40.9,16.6,187,3200
"306","Chinstrap",54.2,20.8,201,4300
"307","Chinstrap",42.5,16.7,187,3350
"308","Chinstrap",51,18.8,203,4100
"309","Chinstrap",49.7,18.6,195,3600
"310","Chinstrap",47.5,16.8,199,3900
"311","Chinstrap",47.6,18.3,195,3850
"312","Chinstrap",52,20.7,210,4800
"313","Chinstrap",46.9,16.6,192,2700
"314","Chinstrap",53.5,19.9,205,4500
"315","Chinstrap",49,19.5,210,3950
"316","Chinstrap",46.2,17.5,187,3650
"317","Chinstrap",50.9,19.1,196,3550
"318","Chinstrap",45.5,17,196,3500
"319","Chinstrap",50.9,17.9,196,3675
"320","Chinstrap",50.8,18.5,201,4450
"321","Chinstrap",50.1,17.9,190,3400
"322","Chinstrap",49,19.6,212,4300
"323","Chinstrap",51.5,18.7,187,3250
"324","Chinstrap",49.8,17.3,198,3675
"325","Chinstrap",48.1,16.4,199,3325
"326","Chinstrap",51.4,19,201,3950
"327","Chinstrap",45.7,17.3,193,3600
"328","Chinstrap",50.7,19.7,203,4050
"329","Chinstrap",42.5,17.3,187,3350
"330","Chinstrap",52.2,18.8,197,3450
"331","Chinstrap",45.2,16.6,191,3250
"332","Chinstrap",49.3,19.9,203,4050
"333","Chinstrap",50.2,18.8,202,3800
"334","Chinstrap",45.6,19.4,194,3525
"335","Chinstrap",51.9,19.5,206,3950
"336","Chinstrap",46.8,16.5,189,3650
"337","Chinstrap",45.7,17,195,3650
"338","Chinstrap",55.8,19.8,207,4000
"339","Chinstrap",43.5,18.1,202,3400
"340","Chinstrap",49.6,18.2,193,3775
"341","Chinstrap",50.8,19,210,4100
"342","Chinstrap",50.2,18.7,198,3775
